level_0,accel-x,accel-y,accel-z,gyro-x,gyro-y,gyro-z,accel-start-time,gyro-start-time,accel-end-time,gyro-end-time,activity code,index,user,serial,csv,timestamp diff,standard activity code
431366,-0.005600691,0.026684608,0.052375793,0.0014553656,0.0074559567,0.0033051134,0.02,0.019,0.02,0.019,0,1,1061,1,0.Stand/1061_A_1.csv,0.009,1
431367,0.013316883,0.0245025,0.02995079,-0.0010078725,0.012009578,0.004303933,0.03,0.029,0.03,0.029,0,2,1061,1,0.Stand/1061_A_1.csv,0.01,1
431368,0.027021311,0.027170375,0.016286563,-0.0036643487,0.013421841,0.0012333908,0.04,0.039,0.04,0.039,0,3,1061,1,0.Stand/1061_A_1.csv,0.01,1
431369,0.012745701,0.03151007,-0.0033021066,-0.0009854028,0.011302533,0.0024210936,0.05,0.049,0.05,0.049,0,4,1061,1,0.Stand/1061_A_1.csv,0.010000002,1
431370,0.010604568,0.033138696,0.0130129205,-0.0034474675,0.007145629,0.00465351,0.06,0.059,0.06,0.059,0,5,1061,1,0.Stand/1061_A_1.csv,0.009999998,1
431371,-0.010517443,0.051858842,0.0074622585,-0.0077020163,-0.00012230943,9.019417e-05,0.07,0.069,0.07,0.069,0,6,1061,1,0.Stand/1061_A_1.csv,0.010000002,1
431372,0.03411661,0.035166632,0.021853164,-0.005650904,-0.0021496203,0.0015248072,0.08,0.079,0.08,0.079,0,7,1061,1,0.Stand/1061_A_1.csv,0.009999998,1
431373,0.019107718,0.029317237,0.015581504,-0.011403054,0.004298497,9.459187e-05,0.09,0.089,0.09,0.089,0,8,1061,1,0.Stand/1061_A_1.csv,0.010000005,1
431374,0.028063662,0.04363876,0.030185906,-0.0080847535,0.0015171834,0.0001278175,0.1,0.099,0.1,0.099,0,9,1061,1,0.Stand/1061_A_1.csv,0.009999998,1
431375,0.04311892,0.046810932,0.018508805,-0.013696124,0.007751114,0.00016132556,0.11,0.109,0.11,0.109,0,10,1061,1,0.Stand/1061_A_1.csv,0.009999998,1
431376,0.008698268,0.019977544,0.059869654,-0.01150409,0.010621039,-5.70924e-06,0.12,0.119,0.12,0.119,0,11,1061,1,0.Stand/1061_A_1.csv,0.009999998,1
431377,-0.008113977,0.041226886,0.04536351,-0.01315696,0.008117115,0.0012144165,0.13,0.129,0.13,0.129,0,12,1061,1,0.Stand/1061_A_1.csv,0.009999998,1
431378,0.026960839,0.024957951,0.04290937,-0.018195285,0.0037388327,-0.001370901,0.14,0.139,0.14,0.139,0,13,1061,1,0.Stand/1061_A_1.csv,0.010000005,1
431379,0.021235218,0.029212039,0.046171084,-0.0127029,0.008598123,0.002014839,0.15,0.149,0.15,0.149,0,14,1061,1,0.Stand/1061_A_1.csv,0.010000005,1
431380,0.0067850295,0.048621815,0.001656957,-0.02051224,0.001016296,-0.0038095305,0.16,0.159,0.16,0.159,0,15,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431381,-0.002501361,-0.017328568,0.13533376,-0.01849122,0.001701693,-0.00025331252,0.17,0.169,0.17,0.169,0,16,1061,1,0.Stand/1061_A_1.csv,0.010000005,1
431382,0.034043793,0.0277245,0.023409938,-0.01809247,0.007026453,0.0011542917,0.18,0.179,0.18,0.179,0,17,1061,1,0.Stand/1061_A_1.csv,0.010000005,1
431383,0.000935521,-0.034218013,0.060375042,-0.006600364,0.009078689,0.0025939478,0.19,0.189,0.19,0.189,0,18,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431384,0.014670009,0.076264344,-0.023626236,-0.0061416547,0.0009990465,0.0035984507,0.2,0.199,0.2,0.199,0,19,1061,1,0.Stand/1061_A_1.csv,0.010000005,1
431385,0.029196754,0.01018263,0.016734097,-0.013367433,-0.0040388224,-0.0009172794,0.21,0.209,0.21,0.209,0,20,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431386,0.009746181,0.016104009,0.016893899,-0.011825814,-0.0032174392,0.0021430594,0.22,0.219,0.22,0.219,0,21,1061,1,0.Stand/1061_A_1.csv,0.010000005,1
431387,0.00771478,0.005953938,0.03939152,-0.006283685,-0.0072442573,0.0018568966,0.23,0.229,0.23,0.229,0,22,1061,1,0.Stand/1061_A_1.csv,0.010000005,1
431388,0.001259746,0.018482983,0.05268135,0.0024860234,-0.00891678,0.0056889085,0.24,0.239,0.24,0.239,0,23,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431389,0.028097806,0.010883038,0.022177888,-0.0030536975,-0.008779603,0.0036370368,0.25,0.249,0.25,0.249,0,24,1061,1,0.Stand/1061_A_1.csv,0.010000005,1
431390,0.015440836,0.010930684,0.052806884,-0.0013883812,-0.005030879,0.004056627,0.26,0.259,0.26,0.259,0,25,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431391,0.008323884,-0.0072682714,0.022180546,0.006044952,-0.008046076,0.0039279824,0.27,0.269,0.27,0.269,0,26,1061,1,0.Stand/1061_A_1.csv,0.01000002,1
431392,0.015565173,0.007205305,0.03404371,0.013516295,-0.008513393,0.0074979984,0.28,0.279,0.28,0.279,0,27,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431393,0.030105637,0.06256934,-0.009304438,0.006865304,-0.005541512,0.004690202,0.29,0.289,0.29,0.289,0,28,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431394,0.019208582,-0.010142266,0.01480793,0.0052069197,-0.00784925,0.0037058021,0.3,0.299,0.3,0.299,0,29,1061,1,0.Stand/1061_A_1.csv,0.01000002,1
431395,0.032132123,0.03927014,-0.00089822896,0.008347237,-0.00919058,0.004009766,0.31,0.309,0.31,0.309,0,30,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431396,0.026155485,0.027849697,0.050132424,0.0026430967,-0.011088431,0.0045576817,0.32,0.319,0.32,0.319,0,31,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431397,0.034557298,0.0682913,-0.019320676,-0.0060682218,-0.0013302567,0.004975264,0.332,0.331,0.332,0.331,0,32,1061,1,0.Stand/1061_A_1.csv,0.0119999945,1
431398,0.011813436,-0.009647918,0.014008469,-0.0053992057,-0.005370017,-0.00039996044,0.34,0.339,0.34,0.339,0,33,1061,1,0.Stand/1061_A_1.csv,0.008000016,1
431399,-0.001618756,0.022936493,0.009798588,-0.00204103,-0.010379801,0.0035399133,0.35,0.349,0.35,0.349,0,34,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431400,0.041914187,0.025328513,-0.0237292,0.0013763647,-0.011807742,0.0025393446,0.36,0.359,0.36,0.359,0,35,1061,1,0.Stand/1061_A_1.csv,0.01000002,1
431401,-0.004015282,0.01898628,0.021722222,0.003904223,-0.010394586,0.0050090915,0.37,0.369,0.37,0.369,0,36,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431402,0.01736902,0.006709148,0.010394343,0.0059473407,-0.017182032,0.0028882772,0.38,0.379,0.38,0.379,0,37,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431403,0.037274472,0.03537088,0.013024348,0.0058161705,-0.012069909,0.0056212675,0.39,0.389,0.39,0.389,0,38,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431404,0.042478472,0.07298646,-0.04404536,-0.007940083,-0.007218961,0.00054685003,0.4,0.399,0.4,0.399,0,39,1061,1,0.Stand/1061_A_1.csv,0.01000002,1
431405,0.019520355,0.018590579,0.010848209,-0.013004,-0.0049137482,-0.0017141004,0.41,0.409,0.41,0.409,0,40,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431406,0.009650613,0.0048629646,0.006584933,-0.0074337493,-0.0065752505,-3.46452e-07,0.42,0.419,0.42,0.419,0,41,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431407,0.023227982,0.036642365,0.045368038,-0.006614519,-0.00527443,0.0005834878,0.43,0.429,0.43,0.429,0,42,1061,1,0.Stand/1061_A_1.csv,0.01000002,1
431408,0.002235325,0.0060795597,0.009012936,-0.0007396626,0.0003536099,0.0031737033,0.44,0.439,0.44,0.439,0,43,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431409,0.03564514,0.070583165,-0.0067937467,0.0012104131,0.0029710983,0.0028297328,0.45,0.449,0.45,0.449,0,44,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431410,-0.010243846,0.027829062,0.03896302,-0.004948263,-0.0030489615,-0.0008280522,0.46,0.459,0.46,0.459,0,45,1061,1,0.Stand/1061_A_1.csv,0.01000002,1
431411,0.043544527,0.011915378,0.043891303,-0.0037028592,0.002918487,0.0038284895,0.47,0.469,0.47,0.469,0,46,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431412,0.0053638844,0.009753546,-0.003912013,-0.0018764068,0.0031090952,0.0015151629,0.48,0.479,0.48,0.479,0,47,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431413,0.021107776,-0.0029344065,0.04555746,0.012186704,0.00033305748,0.00802704,0.49,0.489,0.49,0.489,0,48,1061,1,0.Stand/1061_A_1.csv,0.01000002,1
431414,0.009216673,0.04763622,0.003629596,0.004102999,0.0008924294,0.0035842734,0.5,0.499,0.5,0.499,0,49,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431415,0.02792997,0.019092903,-0.013532,0.008207672,-0.0028199782,0.0052775447,0.51,0.509,0.51,0.509,0,50,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431416,0.027597649,0.033777516,0.028211486,0.0019072684,0.0076967753,0.0062047113,0.52,0.519,0.52,0.519,0,51,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431417,0.0055366894,0.029841885,0.008290418,0.0037958722,-0.00086937356,0.0027592166,0.53,0.529,0.53,0.529,0,52,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431418,0.021315128,0.031503573,0.031053457,0.00026840693,0.007924823,0.005728176,0.54,0.539,0.54,0.539,0,53,1061,1,0.Stand/1061_A_1.csv,0.01000005,1
431419,0.013086505,0.022358287,0.006995178,-0.0046269065,0.0033262293,0.0018002612,0.55,0.549,0.55,0.549,0,54,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431420,0.016393311,-0.010437981,0.042616658,0.0009982612,0.007339547,0.0060194954,0.56,0.559,0.56,0.559,0,55,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431421,0.015590598,0.019485537,0.013801413,-0.00032651174,0.0019002915,0.004627827,0.57,0.569,0.57,0.569,0,56,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431422,0.016144393,0.002465277,0.033507787,0.0014135527,0.0016806393,0.0035277142,0.58,0.579,0.58,0.579,0,57,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431423,0.025019065,0.014688423,-0.0034737084,-0.0003081159,0.0021898802,0.0044014,0.59,0.589,0.59,0.589,0,58,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431424,0.032498933,0.008667532,0.00862307,0.0021140429,0.007373056,0.0058001904,0.6,0.599,0.6,0.599,0,59,1061,1,0.Stand/1061_A_1.csv,0.01000005,1
431425,-0.013271103,-0.038935415,0.079897694,0.007097269,0.008176245,0.00736986,0.61,0.609,0.61,0.609,0,60,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431426,0.045280874,0.03323251,-0.004403852,0.0049672425,0.0024569333,0.0054508876,0.62,0.619,0.62,0.619,0,61,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431427,0.013534537,-0.00580079,0.03689772,-0.00035618027,0.012264235,0.006369393,0.63,0.629,0.63,0.629,0,62,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431428,0.023230432,0.0035474342,6.239489e-05,-0.00049244065,0.00580442,0.0046985196,0.64,0.639,0.64,0.639,0,63,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431429,0.00698765,0.0024754116,0.03019163,0.0035664423,0.0067366115,0.0057886643,0.65,0.649,0.65,0.649,0,64,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431430,0.026437439,-0.01339268,0.007732751,0.016732555,0.0044412105,0.006648018,0.66,0.659,0.66,0.659,0,65,1061,1,0.Stand/1061_A_1.csv,0.01000005,1
431431,0.014287259,0.04025047,0.034515776,0.024074309,0.007344404,0.009702251,0.67,0.669,0.67,0.669,0,66,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431432,0.023934769,0.034665737,0.011468692,0.021616695,0.01017699,0.008258635,0.68,0.679,0.68,0.679,0,67,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431433,0.01796081,0.044566337,0.047214,0.015159879,0.008151066,0.0062481305,0.69,0.689,0.69,0.689,0,68,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431434,0.0013792459,-0.0023936108,0.048870802,0.0189981,0.0076587456,0.008531048,0.7,0.699,0.7,0.699,0,69,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431435,0.02110728,0.051175527,0.051468655,0.017686194,0.00759209,0.0087053105,0.71,0.709,0.71,0.709,0,70,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431436,0.0058440007,0.042829856,0.04784357,0.008343409,0.0064277486,0.0036191682,0.72,0.719,0.72,0.719,0,71,1061,1,0.Stand/1061_A_1.csv,0.01000005,1
431437,-0.012419358,0.055561014,0.05710335,0.0034499855,-0.0023048895,0.0042403704,0.73,0.729,0.73,0.729,0,72,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431438,0.042596467,0.03485372,0.00872332,-0.008382254,-6.2342733e-06,0.00041579967,0.74,0.74,0.74,0.74,0,73,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
431439,-0.0044795405,0.02191523,0.09614156,-0.0047656847,0.0022629732,0.0032507796,0.75,0.749,0.75,0.749,0,74,1061,1,0.Stand/1061_A_1.csv,0.00999999,1
