level_0,attitude.roll,attitude.pitch,attitude.yaw,gravity.x,gravity.y,gravity.z,gyro-x,gyro-y,gyro-z,accel-x,accel-y,accel-z,activity code,index,user,serial,csv,standard activity code
0,-2.243093,-1.0053099,0.43978637,-0.35159445,0.8299535,0.3745681,2.026641,-1.1212566,0.37006843,0.6420686525182671,-4.8781736213705305,4.577477442222846,0,0,24,1,dws_1/sub_24.csv,4
1,-2.389715,-1.0346293,0.50631875,-0.36453098,0.8611591,0.36376584,4.2350755,-1.8362744,2.0475388,-4.111211955205953,-7.9974992608810815,4.854183651954096,0,1,24,1,dws_1/sub_24.csv,4
2,-2.3081963,-1.2675518,0.6613579,-0.21734686,0.95688766,0.20356299,2.092189,-1.9502864,1.0562199,-2.1004312751173915,9.264369731793813,9.705247996752448,0,2,24,1,dws_1/sub_24.csv,4
3,-2.2915945,-1.2251778,0.76943725,-0.25630507,0.9395146,0.22260529,-0.5109714,-0.5411383,-1.404889,0.5619577935661613,-5.927180691615682,-2.981444322670145,0,3,24,1,dws_1/sub_24.csv,4
4,-2.2727394,-1.2678754,0.7804431,-0.22650672,0.95487857,0.1916537,1.149226,0.073182434,1.9010758,9.71829502445931,1.8333842990915465,0.018315593357098987,0,4,24,1,dws_1/sub_24.csv,4
5,-2.387057,-1.3100619,0.6999394,-0.17738432,0.965591,0.18735343,-0.5318892,-0.05565855,-0.26675713,-14.110931857234878,21.56349735667126,10.631411555305261,0,5,24,1,dws_1/sub_24.csv,4
6,-2.2856164,-1.3037008,0.75204206,-0.19734009,0.96482134,0.17366612,1.344048,1.0559978,0.42996764,0.37579615406979366,-11.209629730650823,-7.975334144656985,0,6,24,1,dws_1/sub_24.csv,4
7,-1.9706825,-1.4154336,1.0876911,-0.14388508,0.9881751,0.059637114,2.4136794,-0.9410734,0.9644469,0.0645558792246433,1.5189828391781433,2.634876584189331,0,7,24,1,dws_1/sub_24.csv,4
8,-1.4191606,-1.4310478,1.6609869,-0.13723674,0.9900114,-0.019973248,1.2296605,0.22811133,-0.22313517,-5.675025542587074,-3.4489138611080006,0.9650623290657336,0,8,24,1,dws_1/sub_24.csv,4
9,-1.0077218,-1.4311483,2.066373,-0.11715586,0.9905355,-0.07593261,0.8854498,0.19499725,0.9391912,5.679990577094517,-0.10253783905448068,7.981112737302009,0,9,24,1,dws_1/sub_24.csv,4
10,-0.6923461,-1.4558191,2.3534644,-0.07565831,0.9932056,-0.089085326,-0.43407136,0.7048418,0.3226455,-1.8126313560213958,0.5891134176442007,0.5571905703937102,0,10,24,1,dws_1/sub_24.csv,4
11,-1.3565032,-1.4642534,1.7271216,-0.09989256,0.9945503,-0.019967616,-1.9799116,-2.4653974,-0.9863757,-10.791944049987967,1.90896571511837,3.134585445825009,0,11,24,1,dws_1/sub_24.csv,4
12,-2.2577524,-1.3848846,1.0009804,-0.14882718,0.9826641,0.11450661,-2.2795212,-3.8647926,-1.1880252,-1.0968255997843603,6.9296366930512034,-6.657102214099988,0,12,24,1,dws_1/sub_24.csv,4
13,-2.45821,-1.2529439,0.95829034,-0.19148365,0.94997996,0.24498114,-1.9811487,-2.5754318,-1.8787279,1.955322922474209,3.452161540285259,-3.3925889436698786,0,13,24,1,dws_1/sub_24.csv,4
14,-2.508267,-1.1293938,1.0295123,-0.2577459,0.9041173,0.34192497,-1.1159039,-2.3481283,-2.0668993,-3.7120604552671383,0.21829995852294676,0.08432957047804207,0,14,24,1,dws_1/sub_24.csv,4
15,-2.5524805,-1.0508428,1.1381807,-0.27224872,0.8678548,0.4148054,-0.58331203,-3.2086809,-1.2144817,0.9169384205201336,-2.9089507215706063,-1.3434909469409786,0,15,24,1,dws_1/sub_24.csv,4
16,-2.6606202,-1.0075967,1.197154,-0.24982522,0.8456499,0.47243124,-0.15386578,-2.944265,-1.0312599,1.8476381464710476,-6.543286015965897,-1.8000077441599223,0,16,24,1,dws_1/sub_24.csv,4
17,-2.7257214,-0.9982417,1.2732636,-0.2170104,0.84042513,0.49602628,0.3478273,-2.3136303,-0.41137362,1.2360182828578765,-4.383031765022339,-1.3142551020856017,0,17,24,1,dws_1/sub_24.csv,4
18,-2.7996607,-1.0194689,1.2950315,-0.17713922,0.852114,0.4933923,0.75910336,-1.4208829,0.00019662082,2.2187091559690617,-2.396129509150883,-0.5358935320531172,0,18,24,1,dws_1/sub_24.csv,4
19,-2.8234606,-1.0894632,1.3399454,-0.14425588,0.8861562,0.4396865,1.9144156,-1.3752754,0.13994841,4.203711460931125,-2.7577390762210006,2.3076451283195025,0,19,24,1,dws_1/sub_24.csv,4
20,-2.9017477,-1.1605976,1.3580339,-0.09524148,0.91724986,0.3873754,0.69732445,-2.3831673,0.29024315,-2.2056604098340187,4.210192506620641,8.875937931873855,0,20,24,1,dws_1/sub_24.csv,4
21,-3.0613277,-1.1733943,1.3610263,-0.031634927,0.92197067,0.38590133,0.21909875,-3.7733412,-0.4204464,-3.423404111551592,1.3493222649908017,9.737517488100126,0,21,24,1,dws_1/sub_24.csv,4
22,-3.0131326,-1.186243,1.5539742,-0.048533678,0.92707515,0.3719302,0.5294571,-0.64796185,-1.9924475,2.467073147878436,-4.12095809663196,0.9494125356752556,0,22,24,1,dws_1/sub_24.csv,4
23,-2.7975316,-1.2007256,1.7192457,-0.122604854,0.93223286,0.34033063,0.4517243,1.2037044,-0.088076144,2.517089526040211,1.4364993249980713,-2.4874425442413184,0,23,24,1,dws_1/sub_24.csv,4
24,-2.880805,-1.2087793,1.7058744,-0.09034328,0.93523353,0.34179994,-0.091837406,-2.7422495,-0.09058344,-1.669963997586107,10.30833898910981,6.279691960960014,0,24,24,1,dws_1/sub_24.csv,4
25,-2.905825,-1.2441769,1.7426682,-0.07678656,0.94698656,0.31176442,1.7190442,-0.2682616,0.1496192,3.0439595228155296,-10.451796055395498,-11.954499370029199,0,25,24,1,dws_1/sub_24.csv,4
26,-2.939355,-1.354665,1.7844241,-0.041999295,0.97699445,0.21034569,1.9915171,-2.1734526,0.22033475,-5.307227568505224,-0.5176888060035044,-2.7431934028042084,0,26,24,1,dws_1/sub_24.csv,4
27,-2.8602777,-1.4180229,1.944799,-0.04352799,0.98818576,0.14557612,1.1026182,-1.8329012,-0.6458754,1.4254123784999324,4.421736161944093,-0.4819360065314706,0,27,24,1,dws_1/sub_24.csv,4
28,-2.705441,-1.4612927,2.188054,-0.044710234,0.99416536,0.10020353,0.77070534,0.26535165,0.2843461,6.862563607760083,-2.604350211918512,0.6680845820593736,0,28,24,1,dws_1/sub_24.csv,4
29,-2.7271345,-1.4946634,2.0594282,-0.03298001,0.9971063,0.06786138,0.63965464,0.5742433,0.26578742,-1.863719916074327,-0.4731822314540483,-2.4502952002415843,0,29,24,1,dws_1/sub_24.csv,4
30,-2.379809,-1.5404508,2.4532511,-0.018153459,0.99963087,0.024738356,1.0297164,-1.2573788,0.21157219,-2.613155385205171,-0.8050834676131146,-2.0598935964456913,0,30,24,1,dws_1/sub_24.csv,4
31,-0.72165096,-1.5392065,-1.2592561,-0.019950062,0.99958676,-0.02720578,1.073608,-0.817874,-0.17484826,0.4304992952875636,-0.14362104720627147,-0.9265785032273952,0,31,24,1,dws_1/sub_24.csv,4
32,-0.22277808,-1.4832675,-1.8654647,-0.021734625,0.9962256,-0.08432625,1.2029622,-0.032614738,0.1762671,5.136046589414891,-1.415354324990385,-2.226853050492398,0,32,24,1,dws_1/sub_24.csv,4
33,-0.06367779,-1.4374846,-1.2368267,-0.004568562,0.99130803,-0.13408332,0.67711574,1.5343945,0.2192124,1.0436049818002158,2.1097516510173957,1.1535416513772523,0,33,24,1,dws_1/sub_24.csv,4
34,0.16263199,-1.4278946,-1.5772884,0.01692228,0.9895953,-0.14170046,-0.18225008,1.9807162,0.14239572,1.2845333961906023,0.15950122419480275,-1.2908320319481907,0,34,24,1,dws_1/sub_24.csv,4
35,0.18754315,-1.4409703,-1.0149429,0.03241287,0.9920501,-0.12553371,-0.31710765,-0.06894365,0.14122711,-1.5578878580325888,0.08319325841144759,-1.1699158939826977,0,35,24,1,dws_1/sub_24.csv,4
36,0.2826035,-1.4706619,-1.8342009,0.016857073,0.9941829,-0.101649866,-0.8863854,-1.1839736,-0.5852166,-7.259220434071548,5.1202391251142725,0.7045013235283074,0,36,24,1,dws_1/sub_24.csv,4
37,-1.4399688,-1.5222335,0.29530832,-0.035641596,1.0000863,0.0011350363,-3.1436186,-1.9533463,-1.1851877,-5.401287890918029,4.124250868452191,1.919223535164817,0,37,24,1,dws_1/sub_24.csv,4
38,-2.8664162,-1.3515606,2.6842651,-0.087503076,0.9746381,0.20225434,-3.9978702,-2.0717866,-1.355706,9.02826486773068,7.649312626283576,-1.331237303282446,0,38,24,1,dws_1/sub_24.csv,4
39,-2.6386595,-1.171663,2.0867286,-0.16193801,0.9225982,0.35219246,-2.300123,0.29090226,-2.2872665,1.8742624663097607,2.085635704755763,-5.521572246816317,0,39,24,1,dws_1/sub_24.csv,4
40,-2.5875049,-1.0108764,2.578542,-0.29949853,0.8462645,0.43921822,-2.3082008,0.701515,-2.7906337,-6.178356289223999,0.520202118123523,0.4078714152473456,0,40,24,1,dws_1/sub_24.csv,4
41,-2.506489,-0.86683106,2.4261684,-0.36912435,0.76329803,0.5314476,-1.2169092,-2.2745275,-1.7766168,-1.3510403086018992,-1.1949634073063928,-0.9794349123851608,0,41,24,1,dws_1/sub_24.csv,4
42,-2.6412091,-0.8164102,2.6341121,-0.3402476,0.7280282,0.5946027,0.1525447,-2.449875,-1.0388265,2.4525712067465357,-8.231030546075194,-1.9475981256391317,0,42,24,1,dws_1/sub_24.csv,4
43,-2.6320386,-0.8325149,2.6164887,-0.32171872,0.7403595,0.5912406,1.3755374,-0.7364656,-0.2578503,1.8530373760056886,-8.624019354364345,-0.23281040144322343,0,43,24,1,dws_1/sub_24.csv,4
44,-2.6107655,-0.9424402,2.7268255,-0.30210733,0.8085104,0.5043871,2.717669,0.65702385,1.0745353,6.7786105588159975,-11.426233130429832,0.8684487371033223,0,44,24,1,dws_1/sub_24.csv,4
45,-2.5590632,-1.0773249,2.7032726,-0.25906378,0.88112116,0.39668304,1.8603668,-0.3803475,1.2111323,-1.135610088920217,0.797753045221158,2.3461340646271918,0,45,24,1,dws_1/sub_24.csv,4
46,-2.6270607,-1.157779,2.7368374,-0.19905959,0.915644,0.34893972,1.1142223,-0.5832552,0.60995334,-4.378445054813144,3.716713583864536,2.2436226171765754,0,46,24,1,dws_1/sub_24.csv,4
47,-2.5351548,-1.2112154,2.745136,-0.20007692,0.9362512,0.2890857,1.2287393,0.31047833,-0.14434375,3.3633726530844252,-6.499647727784569,-1.4947720670091054,0,47,24,1,dws_1/sub_24.csv,4
48,-2.5290663,-1.2529223,2.8890166,-0.17985477,0.9498497,0.2556187,0.4231236,-0.90521973,0.4669506,1.7260298464771442,7.375442746111414,3.869432315324143,0,48,24,1,dws_1/sub_24.csv,4
49,-2.495127,-1.2457744,2.7940514,-0.19246185,0.94759285,0.25439867,0.120728336,-0.8737124,-1.2959358,1.7101901508123203,8.407399093408191,-2.1126583405596624,0,49,24,1,dws_1/sub_24.csv,4
50,-2.4422624,-1.2313138,3.150749,-0.2143321,0.94290495,0.25504056,-0.003300272,0.21771461,0.48806924,-1.3332524213813732,-1.6728147045994117,2.6075146913363874,0,50,24,1,dws_1/sub_24.csv,4
51,-2.4880738,-1.2463363,2.616753,-0.19397366,0.9478691,0.25313607,-0.016623542,0.40088117,-0.051001295,-2.7904218696636414,3.779649257283265,-2.0189130068901733,0,51,24,1,dws_1/sub_24.csv,4
52,-2.3779187,-1.2550151,3.568284,-0.21448511,0.95052373,0.22452627,1.0788338,0.56634855,0.024517104,-0.947713345239577,-3.5971275063637007,-1.773183987400838,0,52,24,1,dws_1/sub_24.csv,4
53,-2.222356,-1.319113,0.027891874,-0.19842848,0.9687217,0.15069312,1.503942,-0.200243,0.26108402,-3.439561651609985,1.3809234395992762,-0.2795680109738973,0,53,24,1,dws_1/sub_24.csv,4
